:START_ID(AcquiredPoint),:END_ID(DataPoint),:TYPE
-9002815617403750975,2437218390141491670,DataPoint
-9001610124806676494,-6593422834502324716,DataPoint
-9001365317386126579,-106798104678236280,DataPoint
-9001079696199508935,-955776950419061885,DataPoint
-8999226191734435079,-6222144195395661580,DataPoint
-8998149096123876571,5410947121347882853,DataPoint
-8997924873241840039,8124445293633227097,DataPoint
-8997073477061980811,5502994436731763927,DataPoint
-8996799101261910322,-2190750915662269960,DataPoint
-8995321698902241609,5375205644880072775,DataPoint
-8991834668111362453,3111253364727477595,DataPoint
-8991250537925754749,-6134089995729216084,DataPoint
-8989282845946354968,1615179447846403173,DataPoint
-8989113525629242744,-3827264414469826764,DataPoint
-8988588072457053359,-106798104678236280,DataPoint
-8988126230878744673,50511669530153989,DataPoint
-8986054240324920350,-3178430512947345161,DataPoint
-8985882083718174161,-6772141888700366913,DataPoint
-8985730868272950103,4432307946199779359,DataPoint
-8984673587619373724,5502994436731763927,DataPoint
-8984359655302165776,26509995435247197,DataPoint
-8981729814112945079,-6722382392903185077,DataPoint
-8981289402837719201,8738725814823506476,DataPoint
-8980975290570507258,50511669530153989,DataPoint
-8980534363939845258,-71619079548813826,DataPoint
-8980365213207682800,-2190750915662269960,DataPoint
-8979709603883192857,8150317710680082224,DataPoint
-8979675587844163028,-8891891285620117479,DataPoint
-8977686421704811501,-7785990881252862290,DataPoint
-8976609680517066381,5294681256994906769,DataPoint
-8976574906756463622,6058910148446967055,DataPoint
-8976383085356748812,2634557557309789682,DataPoint
-8976363662451531017,-106798104678236280,DataPoint
-8975286830210753276,-7281966794296777991,DataPoint
-8975145512281864251,-1786151914235030186,DataPoint
-8975009988347520384,-6222144195395661580,DataPoint
-8974712417285108188,3665199512301889811,DataPoint
-8973921954224018384,4432307946199779359,DataPoint
-8973747957053348530,-2868800207031613863,DataPoint
-8973486026714962852,-8351636098437462948,DataPoint
-8972711577583404630,-4106887350265432550,DataPoint
-8972562959622828019,8237797997585450982,DataPoint
-8971952494983839889,155472071092084904,DataPoint
-8971456190031992318,-147279165411200782,DataPoint
-8971126327732195457,4442536933963322942,DataPoint
-8971010988463412429,-3794207581563099798,DataPoint
-8970878618066222604,7771670790980631174,DataPoint
-8968960327464953336,2020205123310551648,DataPoint
-8968561741228373502,-7796288117367534758,DataPoint
-8968414367524099953,8150317710680082224,DataPoint
-8967635202887212612,-2605769710354734579,DataPoint
-8967551920552916855,-4019351474211831988,DataPoint
-8967549300080518271,3611307458115920455,DataPoint
-8966713521885558687,-7354470963609129697,DataPoint
-8964538222762391968,-9208385875120264535,DataPoint
-8964450090821469829,1187520484269110342,DataPoint
-8963259372918187265,256926599489820195,DataPoint
-8962970936512928097,-4432400248405339147,DataPoint
-8962477020786405695,4636617981641363666,DataPoint
-8962434153713929642,2007117552201740649,DataPoint
-8962430295471107475,-2925025384902009946,DataPoint
-8961199773902238992,-6806661735425837259,DataPoint
-8960477391837002676,-1495636201507265338,DataPoint
-8959626392455101294,7235315460169122707,DataPoint
-8959399575297515145,6864021986634505877,DataPoint
