acquiredPointID:ID(AcquiredPoint),iteration:int,:LABEL
-8940943472111183914,51,AcquiredPoint
-8939628201823689169,67,AcquiredPoint
-8939455853546332250,87,AcquiredPoint
-8938902468618888207,79,AcquiredPoint
-8937873779197430473,33,AcquiredPoint
-8937248464302858125,80,AcquiredPoint
-8936547905505416549,24,AcquiredPoint
-8934821964705061741,5,AcquiredPoint
-8934072913138883337,76,AcquiredPoint
-8933742521781007637,111,AcquiredPoint
-8933660517206848165,25,AcquiredPoint
-8933352755651998524,87,AcquiredPoint
-8933170043676422507,109,AcquiredPoint
-8932132386726482467,120,AcquiredPoint
-8931011535153684900,86,AcquiredPoint
-8929104436239578792,113,AcquiredPoint
-8929095824022098388,105,AcquiredPoint
-8928855833543976515,12,AcquiredPoint
-8928755484856271341,48,AcquiredPoint
-8928553368677514980,66,AcquiredPoint
-8927319838551150807,16,AcquiredPoint
-8927175835754398862,59,AcquiredPoint
-8925749397286558746,45,AcquiredPoint
-8925697618011795628,66,AcquiredPoint
-8925630356874158872,11,AcquiredPoint
-8924972765487911505,116,AcquiredPoint
-8924226055143698345,35,AcquiredPoint
-8924156807898095756,38,AcquiredPoint
-8924119188875410360,58,AcquiredPoint
-8923153595305873236,135,AcquiredPoint
-8922819011403029549,94,AcquiredPoint
-8922516966869231468,98,AcquiredPoint
-8921945582245023103,55,AcquiredPoint
-8921110642133174675,118,AcquiredPoint
-8920240086845144735,43,AcquiredPoint
-8919052813466242455,12,AcquiredPoint
-8918913518415295696,13,AcquiredPoint
-8917766664099773226,61,AcquiredPoint
-8917301182513808882,68,AcquiredPoint
-8917234363814920587,139,AcquiredPoint
-8916919244480985505,94,AcquiredPoint
-8916245514271362832,15,AcquiredPoint
-8915312967699373494,72,AcquiredPoint
-8915084146665190000,34,AcquiredPoint
-8913617471999821263,26,AcquiredPoint
-8912902602453825400,140,AcquiredPoint
-8912741671847241156,2,AcquiredPoint
-8912550934751455670,143,AcquiredPoint
-8911948823454647220,20,AcquiredPoint
-8911770902184478932,4,AcquiredPoint
-8911678905824868541,13,AcquiredPoint
-8909889233696399923,49,AcquiredPoint
-8909869330728881139,56,AcquiredPoint
-8908646058127955408,72,AcquiredPoint
-8907492795592531505,10,AcquiredPoint
-8907140482072352312,13,AcquiredPoint
-8905601282511596221,63,AcquiredPoint
-8905198145773240975,94,AcquiredPoint
-8905155200135330133,143,AcquiredPoint
-8904226861988573564,137,AcquiredPoint
-8901824635210554672,62,AcquiredPoint
-8901780242740029916,91,AcquiredPoint
-8901679164410049850,114,AcquiredPoint
-8901368111902980262,57,AcquiredPoint
-8900729948137130679,39,AcquiredPoint
-8897410677918909499,119,AcquiredPoint
-8896718641779780241,0,AcquiredPoint
-8896234744138526090,146,AcquiredPoint
-8895166805863003406,38,AcquiredPoint
-8894746246754404506,70,AcquiredPoint
-8894135917793355826,35,AcquiredPoint
-8893126111652967397,122,AcquiredPoint
-8892995803786580834,47,AcquiredPoint
-8892246681268121204,73,AcquiredPoint
-8891496902020661331,66,AcquiredPoint
-8891452756598804435,5,AcquiredPoint
-8891421589730033656,44,AcquiredPoint
-8891213441832307619,15,AcquiredPoint
-8890937423067380735,4,AcquiredPoint
-8890707791496858085,44,AcquiredPoint
-8890173183340920429,9,AcquiredPoint
-8888057720251199979,45,AcquiredPoint
-8887686077503242174,71,AcquiredPoint
-8886686598983391729,134,AcquiredPoint
-8886359654452099099,72,AcquiredPoint
-8885802793416780716,0,AcquiredPoint
-8885642941726522032,40,AcquiredPoint
-8885458924649027977,66,AcquiredPoint
-8884378224468386367,14,AcquiredPoint
-8881250635829716637,47,AcquiredPoint
-8880670253555762080,58,AcquiredPoint
-8879409805810065466,45,AcquiredPoint
-8879202901022760021,18,AcquiredPoint
-8878227745371696682,30,AcquiredPoint
-8877609967519092279,143,AcquiredPoint
-8877184631866412463,25,AcquiredPoint
-8876032116204824381,40,AcquiredPoint
-8874926210431382564,64,AcquiredPoint
-8873062695207780746,83,AcquiredPoint
-8872122018667057479,25,AcquiredPoint
-8871867697634175443,90,AcquiredPoint
-8871202894141309309,10,AcquiredPoint
-8870700654951628866,133,AcquiredPoint
-8870651255584802924,8,AcquiredPoint
-8870315247244703342,147,AcquiredPoint
-8869624677817437303,87,AcquiredPoint
-8869572983700065129,85,AcquiredPoint
-8867438740169306770,36,AcquiredPoint
-8866944561159694241,114,AcquiredPoint
-8866107420789160131,27,AcquiredPoint
-8865755266879768611,4,AcquiredPoint
-8864908351662714608,56,AcquiredPoint
-8864802275033726967,62,AcquiredPoint
-8863869414487216680,21,AcquiredPoint
-8863797097551343767,67,AcquiredPoint
-8863601313176628976,40,AcquiredPoint
-8862459637362171355,78,AcquiredPoint
-8862297099997291284,65,AcquiredPoint
-8861792809789881372,55,AcquiredPoint
-8860808287917045678,14,AcquiredPoint
-8860153174972635648,60,AcquiredPoint
-8859508865311608187,27,AcquiredPoint
-8857178648972367315,30,AcquiredPoint
-8857038551534395002,20,AcquiredPoint
-8856743562303045243,33,AcquiredPoint
-8856037288244551091,103,AcquiredPoint
-8854986931187910997,22,AcquiredPoint
-8854938918010729126,41,AcquiredPoint
-8854591702695418355,69,AcquiredPoint
-8854314583488939950,121,AcquiredPoint
-8854173136270682508,21,AcquiredPoint
-8854016017983595704,53,AcquiredPoint
-8853464373539353725,38,AcquiredPoint
-8853107600757844835,41,AcquiredPoint
-8852528164382168820,94,AcquiredPoint
-8852380933426933908,27,AcquiredPoint
-8851300925405929479,75,AcquiredPoint
-8850980682955081326,44,AcquiredPoint
-8850375317071359736,19,AcquiredPoint
-8850220728864191707,117,AcquiredPoint
-8850179444794772770,44,AcquiredPoint
-8848939282934733444,36,AcquiredPoint
-8848596838787153850,109,AcquiredPoint
-8846130466808701768,60,AcquiredPoint
-8846058849481757050,40,AcquiredPoint
-8846035676727467737,115,AcquiredPoint
-8845844224520182435,64,AcquiredPoint
-8845449997937163198,74,AcquiredPoint
-8845361309651679973,65,AcquiredPoint
-8842798818657941833,38,AcquiredPoint
-8842578947655120338,43,AcquiredPoint
-8842567537515064356,22,AcquiredPoint
-8840729161101575350,46,AcquiredPoint
-8839550773558975005,61,AcquiredPoint
